id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26232437,2 miles to BROADWAY & FREE PARKING.,197144624,Studio,,District 17,36.12599,-86.77819,Entire home/apt,80,1,73,2019-11-10,4.25,1,164
26236329,★The EASTERLY 1&2 ★4 Bedrms★ Side by Side Condos!,31549142,Brandon,,District 5,36.17832,-86.75721,Entire home/apt,189,2,18,2019-10-06,1.25,32,314
26245408,The Hillview House in 12th South *Winter Special*,15586733,Neal,,District 17,36.12641,-86.77974,Entire home/apt,390,2,27,2019-09-29,1.69,13,89
26248626,MEHARRY HUB,194367969,Rosetta,,District 21,36.16631,-86.80593,Entire home/apt,400,2,1,2019-09-23,0.51,1,339
26250836,Remodeled Southern Chic Studio in 1950s Motel,197294636,Allen And  Jennifer,,District 17,36.12757,-86.77757,Entire home/apt,50,1,97,2019-11-12,7.80,1,48
26268262,♫ Garden Apartment in Music City ♫,56531114,Rachel,,District 8,36.2355,-86.73421,Entire home/apt,70,1,77,2019-11-04,5.11,1,46
26278591,Comfy Townhouse near Downtown and Music Attractions,182634355,Dan,,District 8,36.21598,-86.75424,Entire home/apt,100,1,127,2019-11-10,8.09,1,148
26278746,URBAN NOOK-Comfort & Convenience Next to Downtown,65790359,Steven,,District 5,36.19364,-86.77224,Private room,59,2,0,,,1,79
26280450,Revitalized Victorian Architecture Bungalow with Back Patio,25912979,Stacey,,District 6,36.17002,-86.74748,Entire home/apt,275,2,29,2019-11-10,1.79,1,51
26306062,"That 60's Place ~ Near Opry,  Airport & Downtown!",190016295,Kim,,District 15,36.18421,-86.67227,Entire home/apt,130,3,50,2019-11-05,3.32,1,156
26319881,The Nashville Skyline - 6 Minutes to Downtown Nashville!,85360355,StayLocal,,District 17,36.14635,-86.78262,Entire home/apt,189,1,77,2019-10-28,4.65,115,258
26321010,The Ashwood Penthouse at The Waverly 12th South,6675690,Isabeau And Shaun,,District 17,36.12661,-86.78775,Entire home/apt,220,1,28,2019-10-20,2.02,38,282
26322622,The Beechwood Penthouse at The Waverly 12th South,6675690,Isabeau And Shaun,,District 17,36.12808,-86.78723,Entire home/apt,220,1,25,2019-11-09,1.77,38,356
26326547,The Nashville Mural House,71112010,Jeanelle,,District 6,36.18461,-86.72629,Entire home/apt,191,1,34,2019-10-17,2.33,4,99
26327332,"The Waverly- 14 Bedrooms, 7 Units- House Everyone!",6675690,Isabeau And Shaun,,District 17,36.12661,-86.78696,Entire home/apt,2100,3,0,,,38,281
26327841,"GREAT DEAL! 5 beds, Close To Downtown and Airport",194342496,Kayla,,District 16,36.11935,-86.7322,Entire home/apt,155,2,39,2019-10-27,2.37,3,175
26329079,The Bradford Penthouse at The Waverly 12th South,6675690,Isabeau And Shaun,,District 17,36.12793,-86.78723,Entire home/apt,220,1,20,2019-11-11,2.16,38,346
26329868,Urban Oasis • Minutes from Broadway!,198013636,Kelsie,,District 2,36.18755,-86.8125,Entire home/apt,500,2,37,2019-11-03,2.25,1,4
26352804,Cute condo #B close to everything,2449922,Amy,,District 6,36.1687,-86.75855,Entire home/apt,125,2,42,2019-10-27,2.58,6,165
